State,Year,Month,avgtemp(F)
Illinois,2008,7,74.5
Illinois,2008,8,71.9
Illinois,2008,9,67.1
Illinois,2008,10,54.2
Illinois,2008,11,41.1
Illinois,2008,12,26.8
Illinois,2009,1,20.6
Illinois,2009,2,32.5
Illinois,2009,3,43.6
Illinois,2009,4,51.4
Illinois,2009,5,62.8
Illinois,2009,6,72.7
Illinois,2009,7,70.3
Illinois,2009,8,70.9
Illinois,2009,9,65.9
Illinois,2009,10,50.1
Illinois,2009,11,47.2
Illinois,2009,12,29.1
Illinois,2010,1,21.5
Illinois,2010,2,25.7
Illinois,2010,3,43.8
Illinois,2010,4,58.7
Illinois,2010,5,64.3
Illinois,2010,6,74.9
Illinois,2010,7,77.6
Illinois,2010,8,76.8
Illinois,2010,9,67.2
Illinois,2010,10,56.5
Illinois,2010,11,43.7
Illinois,2010,12,24
Illinois,2011,1,22.7
Illinois,2011,2,30.2
Illinois,2011,3,41.6
Illinois,2011,4,53.1
Illinois,2011,5,62.1
Illinois,2011,6,72.9
Illinois,2011,7,79.9
Illinois,2011,8,74.8
Illinois,2011,9,63.6
Illinois,2011,10,55.2
Illinois,2011,11,45.8
Illinois,2011,12,35.9
Illinois,2012,1,31.9
Illinois,2012,2,35.8
Illinois,2012,3,55.5
Illinois,2012,4,54.6
Illinois,2012,5,68.1
Illinois,2012,6,72.6
Illinois,2012,7,81.8
Illinois,2012,8,73.6
Illinois,2012,9,64.9
Illinois,2012,10,52.5
Illinois,2012,11,41.2
Illinois,2012,12,36.8
Illinois,2013,1,29.2
Illinois,2013,2,29.9
Illinois,2013,3,34.3
Illinois,2013,4,50.2
Illinois,2013,5,63.9
Illinois,2013,6,71.5
Illinois,2013,7,73.1
Illinois,2013,8,72.8
Illinois,2013,9,68.6
Illinois,2013,10,54.5
Illinois,2013,11,38.8
Illinois,2013,12,26.2
Illinois,2014,1,19.3
Illinois,2014,2,19.5
Illinois,2014,3,34.4
Illinois,2014,4,52.4
Illinois,2014,5,63.7
Illinois,2014,6,73
Illinois,2014,7,70.3
Illinois,2014,8,73.8
Illinois,2014,9,64.7
Illinois,2014,10,54.3
Illinois,2014,11,34.6
Illinois,2014,12,33.9
Illinois,2015,1,25.7
Illinois,2015,2,19.4
Illinois,2015,3,38.3
